name,country_code,year,surface_temp
Iceland,ISL,1953,7.216003
Iceland,ISL,1953,8.424807
Iceland,ISL,1953,8.193189
Iceland,ISL,1953,6.6471972
Iceland,ISL,1953,0.700122
Iceland,ISL,1953,-2.1446033
Iceland,ISL,1953,-0.99973387
Iceland,ISL,1954,-1.7021862
Iceland,ISL,1954,-3.791639
Iceland,ISL,1954,-2.7107925
Iceland,ISL,1954,0.56927705
Iceland,ISL,1954,2.6878242
Iceland,ISL,1954,6.0976925
Iceland,ISL,1954,6.6422043
Iceland,ISL,1954,6.9903135
Iceland,ISL,1954,1.7192715
Iceland,ISL,1954,-0.43978217
Iceland,ISL,1954,-0.81290215
Iceland,ISL,1954,-4.7808166
Iceland,ISL,1955,-5.7979374
Iceland,ISL,1955,-6.908665
Iceland,ISL,1955,-3.196401
Iceland,ISL,1955,1.6049455
Iceland,ISL,1955,1.4917295
Iceland,ISL,1955,6.4433455
Iceland,ISL,1955,8.856495
Iceland,ISL,1955,8.258706
Iceland,ISL,1955,4.8226523
Iceland,ISL,1955,-0.86064976
Iceland,ISL,1955,0.19655122
Iceland,ISL,1955,-6.753389
Iceland,ISL,1956,-7.116876
Iceland,ISL,1956,-0.30868807
Iceland,ISL,1956,-0.041449632
Iceland,ISL,1956,-0.56613755
Iceland,ISL,1956,2.6809084
Iceland,ISL,1956,4.745805
Iceland,ISL,1956,7.6088014
Iceland,ISL,1956,6.1264205
Iceland,ISL,1956,6.069058
Iceland,ISL,1956,1.0088851
Iceland,ISL,1956,1.268551
Iceland,ISL,1956,-1.4369185
Iceland,ISL,1957,-4.168778
Iceland,ISL,1957,-7.7780385
Iceland,ISL,1957,-5.2059183
Iceland,ISL,1957,-0.34895137
Iceland,ISL,1957,1.1675372
Iceland,ISL,1957,4.702887
Iceland,ISL,1957,7.719107
Iceland,ISL,1957,7.3286805
Iceland,ISL,1957,2.196406
Iceland,ISL,1957,-0.7131056
Iceland,ISL,1957,-2.3423874
Iceland,ISL,1957,-6.9752865
Iceland,ISL,1958,-8.8747
Iceland,ISL,1958,-9.721746
Iceland,ISL,1958,-6.8438215
Iceland,ISL,1958,-0.582997
Iceland,ISL,1958,-2.3402984
Iceland,ISL,1958,4.376845
Iceland,ISL,1958,8.040409
Iceland,ISL,1958,5.4574027
Iceland,ISL,1958,7.2267427
Iceland,ISL,1958,1.2465786
Iceland,ISL,1958,-0.59734076
Iceland,ISL,1958,-5.9253616
Iceland,ISL,1959,-10.846766
Iceland,ISL,1959,-2.5705059
Iceland,ISL,1959,-1.8763504
Iceland,ISL,1959,-4.940667
Iceland,ISL,1959,1.4825472
Iceland,ISL,1959,3.8210895
Iceland,ISL,1959,7.4806104
Iceland,ISL,1959,5.7338114
Iceland,ISL,1959,5.287463
Iceland,ISL,1959,2.9724965
Iceland,ISL,1959,-4.593643
Iceland,ISL,1959,-5.7063107
Iceland,ISL,1960,-4.725178
Iceland,ISL,1960,-7.936597
Iceland,ISL,1960,-2.7304854
Iceland,ISL,1960,-1.1099354
Iceland,ISL,1960,2.4302359
Iceland,ISL,1960,5.660873
Iceland,ISL,1960,7.041723
Iceland,ISL,1960,6.234788
Iceland,ISL,1960,4.6352644
Iceland,ISL,1960,-0.16964622
Iceland,ISL,1960,-2.4635632
Iceland,ISL,1960,-5.755968
Iceland,ISL,1961,-4.6168637
Iceland,ISL,1961,-5.7065887
Iceland,ISL,1961,-5.164777
Iceland,ISL,1961,-4.65324
Iceland,ISL,1961,2.5447834
Iceland,ISL,1961,3.6415915
Iceland,ISL,1961,7.0287323
Iceland,ISL,1961,6.0629334
Iceland,ISL,1961,4.92151
Iceland,ISL,1961,0.7402968
Iceland,ISL,1961,-3.8522894
Iceland,ISL,1961,-8.482788
Iceland,ISL,1962,-5.338518
Iceland,ISL,1962,-6.2436595
Iceland,ISL,1962,-9.517216
Iceland,ISL,1962,-1.6302527
Iceland,ISL,1962,0.85119617
Iceland,ISL,1962,4.5601683
Iceland,ISL,1962,6.9882703
Iceland,ISL,1962,5.0971847
Iceland,ISL,1962,2.6285675
Iceland,ISL,1962,-0.42085633
